AAII_QTR_DATA,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
Current_Assets,20.4,23.1,15.5,15.2,16.6,11.3,14.3,10.8
Current_Liabilities,50.7,43.1,24.8,28.2,19.9,18.6,18.1,17.7
Diluted_EPS,-3.689,-0.744,-1.017,-1.071,-1.149,-1.528,-1.265,-1.248
Goodwill_Intangibles,49.6,51.8,53.6,54.9,45.2,46.5,46.5,42.4
Inventory,,,,0.0,0.2,0.0,0.1,0.1
LT_Debt,11.7,23.3,42.9,32.6,33.0,32.9,32.1,32.1
Revenue,7.3,7.2,8.4,9.2,6.1,5.0,6.6,10.0
Shares_Diluted,4.2189,11.1213,9.1713,9.0804,8.1966,6.3536,6.3422,5.2671
Total_Assets,74.7,80.6,76.0,77.3,68.1,64.3,67.6,59.9
Total_Liabilities,71.1,75.7,76.6,69.7,58.6,60.8,56.9,55.7
