AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
Current_Assets,38.5,35.1,52.9,41.4,29.6,19.0,18.6,19.3,13.3,25.4,21.3
Current_Liabilities,26.0,37.5,29.9,33.2,23.6,22.4,26.4,20.0,12.6,12.9,14.3
Diluted_EPS,0.092,0.064,0.006,0.054,0.03,0.033,0.213,-0.001,0.012,0.02,0.014
Goodwill_Intangibles,535.2,541.3,547.5,553.7,498.6,506.2,513.7,215.2,219.2,150.1,152.1
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,187.9,187.7,212.5,315.5,282.6,283.7,290.1,134.1,135.0,145.5,145.8
Revenue,46.7,43.3,45.6,38.1,34.0,32.8,24.7,15.4,15.5,11.8,11.7
Shares_Diluted,120.981,121.537,249.214,66.787,66.742,66.577,94.7,62.464,91.79899999999999,91.321,90.661
Total_Assets,654.9,655.5,676.2,644.2,578.5,576.6,582.4,260.9,255.0,202.5,202.8
Total_Liabilities,252.6,263.6,281.1,575.2,513.5,514.1,522.6,221.4,214.8,164.2,166.8
