AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,509.9,512.7,475.3,434.3,428.8,400.0,342.5,334.5,335.4,310.0,263.2
Current_Liabilities,207.5,192.2,176.6,177.6,205.8,192.0,182.6,188.7,162.0,157.3,157.9
Diluted_EPS,0.527,0.597,0.561,0.286,0.557,0.602,0.56,0.53,0.564,0.5529999999999999,0.478
Goodwill_Intangibles,189.1,190.7,190.7,189.2,191.4,203.7,204.9,209.3,211.0,212.1,213.4
Inventory,2.7,1.3,2.9,1.9,1.6,2.0,1.5,2.8,2.1,2.2,2.2
LT_Debt,165.9,168.3,164.6,172.3,172.2,189.8,192.1,209.3,33.4,47.5,47.5
Revenue,243.9,238.4,222.6,207.8,248.3,239.2,226.2,214.6,210.5,199.7,199.1
Shares_Diluted,52.2642,52.0024,52.1125,51.8324,52.9491,51.3352,51.2999,52.077,52.648999999999994,51.6798,51.8575
Total_Assets,1106.1,1105.8,1059.4,1010.0,1012.3,1016.4,958.6,968.4,785.6,747.5,689.0
Total_Liabilities,422.1,406.6,385.9,394.5,425.2,427.5,413.9,429.1,233.2,238.6,241.1
