AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,03/31/2019
Current_Assets,101.2,126.3,93.0,160.0,83.8,,
Current_Liabilities,80.1,72.7,87.3,94.9,74.2,,
Diluted_EPS,-0.561,-1.527,-1.009,-6.107,-0.38,-5.067,-0.613
Goodwill_Intangibles,9.8,10.1,10.3,10.5,10.8,,
Inventory,12.4,12.2,10.4,10.2,10.0,,
LT_Debt,161.9,161.7,72.6,72.2,71.8,0.0,0.0
Revenue,24.5,14.3,25.9,17.3,16.8,144.0,47.5
Shares_Diluted,57.4938,49.4475,46.632,8.6873,45.1638,,
Total_Assets,128.6,154.4,119.6,186.4,111.0,,
Total_Liabilities,254.1,261.4,180.0,203.6,195.7,,
