AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,264.0,122.4,133.2,163.3,189.8,212.0,99.6,123.2,137.0,151.5,166.0
Current_Liabilities,17.0,19.5,19.8,15.7,14.8,13.6,14.0,13.6,10.3,9.1,9.3
Diluted_EPS,0.753,-0.491,-0.817,-1.011,-0.659,-0.609,-0.696,-0.527,-0.466,-0.8170000000000001,-0.35
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,1.0,,,,,,,,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,5.4,20.8,,,,,,,,0.0,0.0
Shares_Diluted,44.3838,40.5588,40.1872,39.9722,39.7536,37.9727,34.3719,34.1937,34.1937,17.2085,32.626999999999995
Total_Assets,274.9,132.0,143.2,167.3,194.1,216.4,103.7,126.0,140.0,151.9,166.4
Total_Liabilities,22.7,26.2,26.7,21.3,18.7,17.5,17.7,17.7,14.5,11.4,11.4
