AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,12/31/2019,09/30/2019,06/30/2019
Current_Assets,83.1,80.1,81.3,81.3,79.0,66.3,52.9,25.8,17.1,,,
Current_Liabilities,6.2,4.4,5.3,5.7,7.0,10.8,11.1,8.4,8.2,,,
Diluted_EPS,0.271,0.108,0.103,0.192,0.345,0.1,0.49,0.174,-0.168,-0.038,-0.054000000000000006,-0.057999999999999996
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,39.4,42.2,37.6,33.0,31.6,27.4,23.1,17.0,16.4,,,
LT_Debt,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.5,0.0,0.0,0.0
Revenue,24.0,15.4,15.1,20.4,25.9,20.7,23.7,15.9,8.6,7.5,6.0,1.5
Shares_Diluted,24.2072,24.1974,24.1988,24.2116,24.19,23.9312,20.0,20.0,10.0,,,
Total_Assets,127.5,121.7,122.4,123.1,122.0,118.9,113.0,89.8,85.1,,,
Total_Liabilities,11.6,9.5,10.1,10.3,11.4,14.9,15.1,12.7,12.4,,,
