AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,12/31/2019,09/30/2019,06/30/2019
Current_Assets,66.3,52.9,25.8,17.1,,,
Current_Liabilities,10.8,11.1,8.4,8.2,,,
Diluted_EPS,0.1,0.49,0.174,-0.153,-0.038,-0.054,-0.058
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,27.4,23.1,17.0,16.4,,,
LT_Debt,0.1,0.1,0.2,0.5,0.0,0.0,0.0
Revenue,20.7,23.7,15.9,14.4,7.5,6.0,1.5
Shares_Diluted,23.9312,20.0,20.0,20.0,,,
Total_Assets,118.9,113.0,89.8,85.1,,,
Total_Liabilities,14.9,15.1,12.7,12.4,,,
