AAII_QTR_DATA,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
Current_Assets,277.4,318.4,273.5,0.2,0.6,0.7,1.1,1.8,2.0,2.2,2.3
Current_Liabilities,46.0,57.1,25.6,3.2,0.1,0.2,0.5,0.2,0.2,0.1,0.2
Diluted_EPS,-0.031,-0.063,-0.149,-0.092,-0.004,0.004,0.0,0.022,0.027999999999999997,0.031,0.011
Goodwill_Intangibles,12.6,9.9,2.6,,,,,,,0.0,0.0
Inventory,58.1,47.5,9.3,,,,,,,0.0,0.0
LT_Debt,8.7,7.6,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,68.0,50.8,56.6,,,,,,,0.0,0.0
Shares_Diluted,113.707,113.6701,100.8174,38.1967,38.1967,38.1967,38.1967,37.7338,38.1967,38.127,37.5
Total_Assets,313.3,348.1,326.6,311.1,311.5,311.8,311.9,311.7,310.8,309.6,303.0
Total_Liabilities,87.7,122.5,97.5,13.9,10.8,10.9,11.2,10.9,10.8,10.8,10.7
