AAII_QTR_DATA,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,101.9,103.9,113.6,133.9,139.9,140.4,146.5,44.8,,
Current_Liabilities,50.8,47.3,49.3,51.9,46.6,44.0,42.1,44.7,,
Diluted_EPS,-0.123,-0.144,-0.247,-0.481,-0.186,-0.243,-0.264,-0.137,0.086,-0.101
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,31.0,25.6,23.0,21.2,30.1,25.6,25.1,22.5,29.2,19.3
Shares_Diluted,35.833,35.758,35.65,35.4525,38.486,34.145,31.164,32.4365,,
Total_Assets,160.4,155.5,160.4,170.4,176.7,177.2,179.5,71.9,,
Total_Liabilities,85.2,80.1,84.0,88.9,82.4,81.6,78.6,78.5,,
