AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
Current_Assets,671.1,758.4,845.4,578.4,601.6,626.8,500.8,181.7,,,,,0.5,1.6
Current_Liabilities,57.8,47.2,39.0,33.2,24.2,21.2,16.6,18.3,,,,,0.2,1.0
Diluted_EPS,-0.271,-0.253,-0.205,-0.146,-0.108,-0.228,-2.003,-0.242,-0.079,-0.048,-0.055,-0.253,0.037000000000000005,0.025
Goodwill_Intangibles,41.9,5.3,5.5,5.6,0.7,0.7,0.7,0.7,,,,,0.0,0.0
Inventory,9.3,10.0,10.3,7.9,4.3,3.3,3.6,2.9,,,,,0.0,0.0
LT_Debt,610.6,609.8,609.0,0.3,0.4,0.5,0.3,26.9,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,9.9,6.9,12.3,8.0,6.3,5.3,2.4,11.5,3.4,3.9,5.8,6.8,0.0,0.0
Shares_Diluted,352.0545,348.6838,359.6286,352.1225,340.255,332.9875,145.097,323.9362,,,,,50.0,35.1037
Total_Assets,775.6,807.8,883.5,607.8,626.2,651.2,510.4,191.5,,,,,404.4,403.0
Total_Liabilities,687.0,683.9,685.6,68.7,79.2,84.1,361.6,61.8,,,,,14.5,15.0
