AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.431,0.436,0.378,0.041,0.423,0.491,0.487,0.458,0.41600000000000004,0.426,0.487
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,1243.7,1243.2,1242.7,833.3,833.0,832.7,832.5,832.2,831.9,831.6,831.3
Revenue,298.0,302.3,296.0,294.0,306.9,311.6,318.4,292.3,291.7,285.6,290.4
Shares_Diluted,356.383,356.005,357.195,339.661,365.216,369.898,372.575,376.603,376.667,381.017,382.905
Total_Assets,7407.0,7354.5,7149.5,6574.6,6155.3,6229.6,6146.8,6055.5,5870.1,5677.8,5657.1
Total_Liabilities,2674.7,2655.5,2635.9,2191.2,1913.5,1920.3,1987.1,2019.9,2053.9,2095.9,2167.6
