AAII_QTR_DATA,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,231.9,220.7,134.2,141.6,142.1,154.8,155.9,166.1,168.9
Current_Liabilities,24.2,19.1,16.9,28.2,11.9,9.2,6.3,7.6,4.5
Diluted_EPS,-0.062,-0.064,-0.082,-0.146,-0.08,-0.076,-0.054,-0.039,-0.03
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,0.1,0.0,0.1,0.2,0.1,0.1,0.1,0.4,0.2
Shares_Diluted,318.7992,246.9661,200.2221,198.5384,189.1236,186.5561,186.3931,186.4567,184.30200000000002
Total_Assets,285.8,274.8,142.9,165.5,164.3,166.2,175.7,185.3,187.9
Total_Liabilities,53.0,24.1,22.1,30.4,11.9,9.2,6.3,7.6,4.5
