AAII_QTR_DATA,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,33.7,37.5,35.9,11.9,8.8,7.6,1.6,1.9,5.3,4.1,1.4,5.5,16.3
Current_Liabilities,26.5,21.7,19.0,19.0,13.5,7.6,8.0,7.4,6.6,12.6,10.8,9.0,9.1
Diluted_EPS,-0.153,-0.243,-0.571,0.012,-0.454,-0.378,-0.215,-0.413,0.109,-0.6679999999999999,-0.495,-0.8420000000000001,2.103
Goodwill_Intangibles,25.2,25.4,25.5,25.8,25.8,17.6,17.6,19.6,17.5,17.5,17.5,17.4,17.5
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.4,3.3,1.9,1.6,0.0,0.0,0.0,0.0,0.0,2.8
Revenue,8.3,7.7,5.4,4.5,2.6,1.2,0.4,1.1,1.0,0.9,0.6,1.1,2.0
Shares_Diluted,25.0196,23.6314,19.4115,16.039,14.4795,14.0809,14.0003,10.6141,12.9336,12.1298,11.6703,10.1205,10.1128
Total_Assets,60.3,64.3,62.9,39.0,35.1,25.8,19.9,20.2,23.5,22.3,19.6,23.1,34.3
Total_Liabilities,37.4,33.4,30.8,19.8,17.2,9.8,10.0,7.7,6.8,13.0,11.2,9.0,11.8
