AAII_QTR_DATA,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
Current_Assets,119.5,95.7,91.3,91.7,91.2,95.7,95.9,93.4
Current_Liabilities,140.8,98.9,57.9,56.6,59.2,62.6,56.0,50.8
Diluted_EPS,-0.024,-0.043,-0.082,-0.095,-0.078,-0.587,-0.032,-0.042
Goodwill_Intangibles,198.7,109.5,112.9,118.5,123.0,129.4,139.8,121.5
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,27.1,33.4,69.7,67.0,66.6,63.8,58.0,38.9
Revenue,102.9,78.0,70.6,68.4,70.7,73.2,66.2,67.4
Shares_Diluted,83.8781,58.4396,58.2374,58.0812,58.0787,57.8393,56.4143,55.6736
Total_Assets,365.7,243.3,241.2,244.4,251.9,257.8,266.6,239.8
Total_Liabilities,178.8,135.2,131.0,127.2,129.8,130.4,116.1,92.3
