AAII_QTR_DATA,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020
Current_Assets,264.7,289.7,111.0,,,,,
Current_Liabilities,68.8,69.4,48.5,,,,,
Diluted_EPS,-0.623,-1.397,-0.674,-0.673,-0.617,-0.705,-0.714,-0.686
Goodwill_Intangibles,6.4,6.8,6.9,,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,260.8,256.4,381.8,0.0,0.0,0.0,0.0,0.0
Revenue,64.1,59.0,46.7,33.5,33.5,35.5,28.9,59.6
Shares_Diluted,63.0368,62.8687,62.8687,,,,,
Total_Assets,447.5,478.4,302.9,,,,,
Total_Liabilities,376.4,373.5,498.8,,,,,
