AAII_QTR_DATA,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1
Diluted_EPS,-0.004,-0.003,-0.003,-0.004,-0.002,-0.004,-0.007,-0.005,-0.003
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,5.0218,5.055,5.055,5.055,5.055,5.055,5.055,5.055,5.055
Total_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total_Liabilities,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1
