AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,262.0,414.0,410.5,422.1,338.1,374.4,372.4,345.5,322.4,296.4,312.8,204.6,188.3,189.4,204.5,205.8,219.0,234.2,361.3
Current_Liabilities,91.8,82.5,91.5,105.3,287.3,274.4,282.7,279.9,130.5,111.8,136.6,309.4,292.3,230.7,278.8,308.1,350.3,262.0,108.4
Diluted_EPS,1.04,-0.813,-12.438,-0.632,-0.839,3.579,-0.336,0.481,1.349,-0.633,-1.891,-2.292,1.017,0.127,0.291,0.82,-0.04,-0.26,1.858
Goodwill_Intangibles,476.4,478.5,484.3,490.9,498.0,505.9,515.7,526.0,537.3,548.6,561.1,574.2,588.0,601.7,615.3,629.6,643.8,554.0,262.3
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,625.4,813.5,813.4,813.3,565.0,478.2,472.0,465.9,619.5,611.4,603.5,271.4,267.9,264.4,261.0,257.6,254.2,250.9,247.7
Revenue,200.5,202.1,237.8,261.9,283.2,258.3,297.5,270.0,272.8,222.3,220.3,184.3,283.1,255.2,310.6,278.4,262.4,202.7,197.1
Shares_Diluted,12.935,12.79,12.758,12.723,12.901,13.389,13.268,13.719,14.119,13.052,13.033,12.984000000000002,14.158,14.589,14.632,14.908,12.718,12.705,13.85
Total_Assets,1042.3,1199.3,1210.3,1364.1,1289.5,1299.4,1284.5,1266.6,1243.2,1189.0,1203.6,1087.6,1016.6,948.0,979.2,980.6,992.5,896.1,743.6
Total_Liabilities,811.3,991.4,1003.8,1013.6,948.6,851.4,853.4,846.3,847.7,824.2,842.6,681.6,593.1,545.6,589.9,606.7,640.3,549.9,367.8
