AAII_QTR_DATA,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
Current_Assets,120.5,124.5,114.1,113.9,118.7,,,,,,
Current_Liabilities,181.8,183.0,170.7,171.9,132.2,,,,,,
Diluted_EPS,-0.467,-0.398,-0.418,-0.339,,,,-0.204,,,
Goodwill_Intangibles,304.0,307.8,311.1,314.6,267.8,,,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,275.6,275.3,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,69.7,64.7,62.2,61.3,55.6,49.6,48.1,47.5,48.7,46.2,44.5
Shares_Diluted,61.564,60.889,60.085,58.7772,,,,,,,
Total_Assets,449.6,457.0,448.0,459.8,412.5,,,,,,
Total_Liabilities,192.1,193.7,182.5,473.3,419.4,,,,,,
