AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018
Current_Assets,452.9,510.9,567.2,2242.5,1070.4,326.1,289.0,194.8,393.9,401.6,245.0,290.0,444.1,164.3,122.5
Current_Liabilities,505.1,528.8,570.1,270.6,229.1,162.9,143.2,96.1,78.7,78.7,89.8,96.9,99.5,176.4,75.6
Diluted_EPS,0.983,0.031,-1.864,-0.298,1.404,-0.299,0.617,0.219,-0.774,-0.281,0.396,0.185,0.416,0.45899999999999996,0.633
Goodwill_Intangibles,4280.3,4480.5,4600.6,1441.6,1408.3,1016.7,850.4,434.0,242.9,244.5,243.5,244.7,246.0,245.9,242.1
Inventory,14.5,13.6,11.5,12.0,12.2,10.8,9.3,8.6,9.0,8.2,7.9,8.0,7.7,8.6,6.4
LT_Debt,3336.6,3449.1,3426.8,2556.4,1328.4,1128.6,1094.1,937.6,938.1,930.3,680.6,681.2,681.6,334.9,390.6
Revenue,552.5,548.3,547.7,314.8,267.7,192.3,118.1,116.6,28.9,109.1,130.4,129.3,143.2,120.6,111.4
Shares_Diluted,60.541,60.12,61.857,49.506,49.102,35.827,32.7856,30.635,30.451999999999998,31.569000000000006,33.7295,37.925,41.261,38.367,38.4874
Total_Assets,6236.0,6408.0,6553.2,4969.7,3757.3,2138.8,1929.9,1256.9,1200.0,1215.3,1021.9,1070.9,1229.5,951.1,782.4
Total_Liabilities,4821.8,4860.6,4941.2,3656.0,2390.1,1684.1,1603.3,1100.7,1052.4,1044.3,810.5,808.2,812.0,548.3,483.7
