AAII_QTR_DATA,01/02/2021,09/26/2020,06/27/2020,03/28/2020,12/28/2019,09/28/2019,06/29/2019,03/30/2019,12/29/2018,09/29/2018
Current_Assets,181.8,164.4,141.8,372.8,160.4,159.6,158.6,145.7,150.9,158.4
Current_Liabilities,655.9,512.6,562.5,795.1,594.8,603.1,592.5,545.5,488.7,439.0
Diluted_EPS,2.189,1.792,-0.452,1.36,0.821,0.942,0.14,0.801,0.807,0.521
Goodwill_Intangibles,72.9,73.5,74.1,72.7,73.2,73.8,74.3,74.9,75.4,76.0
Inventory,81.4,83.3,81.7,82.0,87.1,86.5,87.9,83.3,84.9,91.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,567.9,531.2,284.9,472.6,441.2,474.8,356.0,426.4,411.8,414.8
Shares_Diluted,28.032,28.634,27.923,28.772,29.356,29.796,30.531,31.738,33.429,35.039
Total_Assets,800.1,780.1,768.8,1013.8,806.0,802.3,795.9,770.7,470.1,470.1
Total_Liabilities,1024.1,882.9,931.8,1169.7,965.5,966.8,953.2,895.3,579.7,524.4
