AAII_QTR_DATA,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.42,0.367,0.389,0.493,0.527,0.534,-0.1,0.311,0.273,0.46399999999999997,0.49,0.37,0.422,0.552,0.496
Goodwill_Intangibles,517.3,518.5,519.9,521.2,522.6,524.0,526.0,528.2,528.4,390.2,391.1,392.2,393.7,355.4,356.1
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,194.4,229.1,228.9,228.6,228.2,235.5,246.9,246.8,120.2,96.8,96.7,96.5,99.6,99.5,99.5
Revenue,91.0,88.5,85.4,83.3,84.9,92.6,93.0,95.9,98.2,77.1,76.9,78.4,76.4,72.4,71.4
Shares_Diluted,58.943,59.01,59.515,59.966,60.101,60.06,59.935,59.999,60.479,50.494,50.966,51.29,50.15,48.419,48.571999999999996
Total_Assets,12164.9,11739.6,11829.7,11483.9,11577.5,11448.3,11651.3,11345.4,10489.1,8246.1,8135.2,8029.1,8092.9,7516.2,7562.6
Total_Liabilities,10645.6,10223.1,10316.4,9975.1,10078.8,9964.2,10189.6,9868.9,9079.2,7093.0,6990.6,6891.8,6965.8,6476.8,6532.7
