AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,98.4,50.8,30.1,71.3,38.7,38.6,41.4,64.0,63.8,73.3,91.6
Current_Liabilities,58.6,68.9,80.5,124.6,78.0,88.4,95.2,111.9,164.8,137.2,189.9
Diluted_EPS,0.936,-0.004,-1.362,-6.059,-0.356,-7.011,-5.117,-0.376,-0.149,1.534,0.332
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,20.0,20.0,0.0,0.0,46.0,57.5,62.0,52.0,0.0,0.0,0.0
Revenue,33.6,30.3,27.7,16.7,40.3,59.9,58.4,75.4,73.2,85.1,97.7
Shares_Diluted,37.439,35.809,35.783,35.611,35.551,35.538,35.491,35.356,35.321999999999996,35.315,35.33
Total_Assets,280.3,260.8,266.1,355.4,573.0,607.7,860.0,1046.8,1051.5,1024.3,1032.3
Total_Liabilities,116.9,132.8,138.2,180.7,183.0,205.2,208.7,214.7,208.1,176.6,239.8
