AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,274.9,277.8,296.3,326.3,405.5,372.1,393.6,391.7,352.5,338.9,338.7,302.3,274.8,245.2,277.3,299.8,255.5,248.5,252.0
Current_Liabilities,125.8,131.4,163.0,189.5,183.2,160.4,161.6,240.1,125.6,108.2,127.8,109.7,93.3,85.0,96.7,89.8,105.1,90.4,94.8
Diluted_EPS,0.824,0.352,1.089,1.299,0.925,0.976,0.956,0.996,0.621,0.852,0.886,0.469,0.417,0.638,0.64,3.0610000000000004,1.073,0.648,0.638
Goodwill_Intangibles,39.9,41.2,41.4,40.6,39.8,39.7,40.3,39.7,38.9,37.8,37.0,36.1,34.9,33.8,32.4,31.3,30.5,28.0,49.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,22.3,25.6,0.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,65.0,65.6,65.9,83.6,73.2,81.1
Revenue,406.0,419.7,437.6,436.5,417.0,410.4,402.7,403.6,363.2,354.0,365.4,343.0,335.2,336.2,345.6,338.9,326.7,330.4,326.6
Shares_Diluted,19.667,20.11,20.45,20.718,20.73,21.068,21.098,21.282,21.361,21.473,21.18,21.078000000000003,21.86,22.254,23.342,24.458,25.019,25.248,25.366
Total_Assets,385.2,392.0,412.8,442.1,529.5,503.4,522.6,518.1,493.4,479.0,478.2,438.8,405.5,381.1,409.3,426.2,424.6,379.9,391.7
Total_Liabilities,199.4,209.8,203.9,231.5,331.3,315.0,332.7,331.9,316.7,299.1,308.0,286.4,252.1,213.9,221.4,211.3,246.0,211.6,227.7
