AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,11.2,9.7,11.3,14.2,13.0,13.3,17.7,17.2,17.8,18.2,17.9
Current_Liabilities,5.1,3.4,4.8,2.5,1.5,2.4,3.4,3.0,3.2,2.4,2.6
Diluted_EPS,-0.022,-0.094,-0.041,-0.006,0.022,0.0,0.031,-0.058,-0.027000000000000003,0.006,0.085
Goodwill_Intangibles,19.6,20.0,20.4,11.5,11.7,11.9,6.9,6.7,6.9,7.0,7.2
Inventory,4.7,4.0,5.7,4.9,7.4,7.8,7.0,6.5,7.3,7.8,8.4
LT_Debt,4.2,4.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,9.4,9.1,7.2,6.1,7.9,8.1,7.2,6.4,6.8,9.1,9.7
Shares_Diluted,12.618,13.136,12.48,12.462,12.608,12.463,12.462,12.436,12.408,12.581,12.54
Total_Assets,34.6,33.6,35.5,29.6,28.6,26.1,28.3,27.8,28.9,26.5,26.6
Total_Liabilities,12.4,11.1,12.0,5.7,4.7,2.5,4.7,4.6,5.1,2.4,2.6
