AAII_QTR_DATA,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,26.3,25.6,21.7,25.2,25.5,22.4,27.7,22.0,5.2,5.1,3.7,23.1,15.6,17.0
Current_Liabilities,24.2,27.7,23.5,15.6,20.0,23.0,33.7,21.5,14.6,14.4,14.6,13.1,12.5,13.6
Diluted_EPS,-0.063,-0.012,-0.2,-0.199,-0.182,0.455,-0.237,-0.543,-0.067,-0.11,-0.075,-2.245,-0.040999999999999995,-0.218
Goodwill_Intangibles,30.5,30.5,24.5,6.9,7.1,13.9,14.2,8.0,2.3,2.4,2.5,2.5,2.5,2.6
Inventory,2.1,5.1,3.6,0.7,4.2,2.5,3.2,0.7,1.5,1.2,1.2,0.0,4.4,4.2
LT_Debt,0.8,0.9,0.4,0.7,0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,13.8,9.3,2.2,5.5,3.1,3.8,0.4,0.2,0.2,0.3,0.0,0.0,1.1,0.6
Shares_Diluted,27.0843,23.707,16.693,12.7277,10.5058,10.2039,9.2716,8.1692,8.0733,7.8315,7.5733,7.4774,7.5733,7.5733
Total_Assets,63.1,62.6,49.7,33.2,33.6,37.3,42.9,30.1,24.4,25.0,24.3,23.1,36.4,38.8
Total_Liabilities,28.5,32.2,25.5,16.5,20.3,23.2,33.8,21.4,14.4,14.3,14.5,12.9,12.6,13.6
