AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020
Current_Assets,669.2,716.8,754.8,797.7,0.5,0.8,1.4,0.1
Current_Liabilities,43.7,34.3,28.3,29.7,7.9,4.3,0.1,0.4
Diluted_EPS,-0.303,-0.248,-0.18,-0.746,-0.539,-0.039,-0.191,0.0
Goodwill_Intangibles,0.4,0.4,0.5,0.5,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,4.7,7.0,9.3,11.7,0.0,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,236.4552,238.7808,240.2409,236.8897,236.8897,62.5,56.875,64.375
Total_Assets,691.2,737.9,768.4,805.7,500.8,501.0,501.5,0.4
Total_Liabilities,73.0,74.2,69.5,83.8,46.1,49.6,47.6,0.4
