AAII_QTR_DATA,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/30/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019
Current_Assets,772.4,805.3,741.9,747.9,464.5,,,,,,,
Current_Liabilities,379.6,395.1,311.2,301.6,288.4,,,,,,,
Diluted_EPS,-0.098,-0.134,-0.115,-0.198,-0.148,-0.046,-0.076,0.012,-0.045,-0.066,-0.033,-0.032
Goodwill_Intangibles,50.7,50.7,50.8,47.3,47.3,,,,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,80.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,145.0,135.7,127.1,118.7,111.0,104.1,96.3,93.5,93.0,88.9,82.6,76.5
Shares_Diluted,256.903,256.589,255.195,167.59,98.217,,,,,,,
Total_Assets,900.2,920.0,844.7,851.5,573.0,,,,,,,
Total_Liabilities,393.8,404.2,326.3,317.5,388.7,,,,,,,
