AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash_from_Operations,-16.9,-12.0,-6.9,-6.1,-0.3,-0.3,1.6,-0.3,-0.6
Diluted_EPS,-0.95,-1.144,-1.492,-1.85,-0.044,0.398,0.042,-239.189,-239.18900000000002
Goodwill_Intangibles,20.4,16.8,0.6,0.7,1.0,1.3,0.7,0.0,
LT_Debt,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-20.1,-14.5,-6.5,-4.1,-0.1,0.6,0.7,-0.3,-0.3
Revenue,37.3,37.9,34.6,22.7,15.6,12.9,2.6,2.5,2.5
Shares_Diluted,21.1876,12.6789,4.3859,2.2161,1.6979,1.4239,17.6776,0.0011,0.0011
Total_Assets,34.2,29.9,11.3,5.5,5.3,3.4,2.2,0.2,0.3
Total_Liabilities,4.6,6.0,0.9,0.4,2.0,0.8,1.7,0.4,0.4
