AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,0.0,0.2,0.2,0.0,0.0,0.0
Cash_from_Operations,-1.1,-17.3,27.6,14.5,0.6,-0.3
Diluted_EPS,-14.017,-0.863,5.758,3.019,1.22,-0.036
Goodwill_Intangibles,0.0,0.0,2.2,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-62.0,-3.8,24.0,13.9,5.6,-0.2
Revenue,1.4,14.4,25.1,15.8,7.8,0.0
Shares_Diluted,4.4228,4.4228,4.1761,4.6,4.6,4.6
Total_Assets,5.6,66.8,79.2,29.9,30.6,0.3
Total_Liabilities,3.0,2.0,8.1,4.5,2.3,0.5
