AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,,0.0,0.2,0.7,0.1,0.2,0.1,0.0
Cash_from_Operations,-0.3,-0.8,-1.3,-2.2,-1.1,-0.7,-0.8,-0.1
Diluted_EPS,-0.92,0.276,0.186,-1.744,-2.917,-0.563,-0.48,-0.006
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,6.6,6.0,2.0,1.6,1.0,0.4,0.0,0.0
Net_Income,,7.8,4.7,-14.9,-19.8,-3.2,-2.4,-0.4
Revenue,1.0,1.0,1.1,1.0,1.0,0.3,0.1,0.0
Shares_Diluted,13.162,28.2735,25.5219,8.5319,6.8055,5.7332,4.95,68.8822
Total_Assets,2.3,2.7,2.6,1.4,0.7,0.5,0.1,0.0
Total_Liabilities,25.7,14.8,24.9,33.0,21.1,5.2,2.9,1.3
