AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,131.8,112.4,110.2,93.6,65.3,72.0,57.7,60.4
Cash_from_Operations,446.7,382.3,312.6,293.4,207.6,120.9,126.4,109.4
Diluted_EPS,2.165,1.866,1.688,0.593,0.684,0.569,0.056,0.534
Goodwill_Intangibles,1085.7,1029.0,845.9,542.1,562.8,601.5,957.9,99.3
LT_Debt,1085.8,932.5,934.9,574.4,484.7,606.0,666.8,0.0
Net_Income,295.0,254.9,240.8,85.1,97.1,80.3,7.9,74.5
Revenue,1859.3,1591.1,1550.5,1342.5,1175.3,1081.1,962.1,693.5
Shares_Diluted,136.266,136.568,142.61,143.518,142.05,141.121,140.062,139.618
Total_Assets,2917.7,2516.1,2317.6,1976.2,1699.5,1646.7,1762.1,875.3
Total_Liabilities,1538.2,1350.2,1305.6,983.2,800.3,843.8,1013.6,118.5
