AAII_YR_DATA,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/25/2015,09/26/2014,09/27/2013
Capital_Expenditures,592.0,552.0,443.0,586.0,645.0,760.0,1249.0,246.0,288.0,270.0
Cash_from_Operations,1986.0,2487.0,2219.0,1217.0,2530.0,2223.0,1847.0,539.0,912.0,850.0
Diluted_EPS,2.19,2.27,0.837,6.49,2.32,1.705,-1.301,1.351,4.157,1.189
Goodwill_Intangibles,21969.0,23884.0,23288.0,23810.0,24568.0,26429.0,28564.0,5097.0,8960.0,4953.0
LT_Debt,7426.0,7506.0,7526.0,6708.0,9623.0,11964.0,11053.0,2159.0,1443.0,1443.0
Net_Income,1532.0,1637.0,631.0,5674.0,2162.0,1611.0,-868.0,551.0,1838.0,545.0
Revenue,25299.0,23668.0,22317.0,23968.0,23400.0,22835.0,20837.0,9902.0,10332.0,10058.0
Shares_Diluted,699.6,721.1,753.6,874.3,931.7,944.6,667.4,407.7852,442.1652,442.1652
Total_Assets,42158.0,41890.0,40815.0,42287.0,48797.0,51884.0,63179.0,12321.0,11809.0,12176.0
Total_Liabilities,25890.0,24328.0,23368.0,22521.0,27633.0,31437.0,39061.0,8280.0,7162.0,7078.0
