AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,70.1,50.1,43.3,74.1,35.3,,
Cash_from_Operations,-291.7,-28.6,-58.1,-377.0,-189.4,,
Diluted_EPS,-1.405,-1.514,-0.698,-1.003,-0.578,-0.167,-0.162
Goodwill_Intangibles,297.7,315.5,165.4,133.6,108.3,,
LT_Debt,0.0,0.0,435.9,0.0,0.0,0.0,0.0
Net_Income,-601.5,-494.1,-270.2,-388.0,-223.8,-64.8,-62.5
Revenue,6018.0,6421.0,3720.8,2386.0,884.7,370.3,186.8
Shares_Diluted,428.1692,326.3361,386.926,386.926,386.926,386.926,386.926
Total_Assets,1533.1,1800.6,1365.1,1471.6,968.2,,
Total_Liabilities,1016.0,956.8,741.3,627.5,124.9,,
