AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,236.4,197.9,435.0,338.9,247.4
Cash_from_Operations,788.5,310.1,647.6,590.3,257.4
Diluted_EPS,2.38,-7.268,0.284,1.628,1.13
Goodwill_Intangibles,0.0,9.3,23.9,38.4,0.0
LT_Debt,388.1,391.1,389.8,388.6,0.0
Net_Income,417.3,-1208.4,47.4,257.6,178.9
Revenue,1078.4,541.3,942.2,882.4,403.2
Shares_Diluted,175.36,166.27,167.047,158.232,158.232
Total_Assets,1746.7,1453.4,3466.4,3433.5,1689.0
Total_Liabilities,930.0,905.3,1690.4,1756.8,91.1
