AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,307.7,275.5,402.6,287.1,190.1,,
Cash_from_Operations,209.4,178.3,146.6,166.1,129.3,,
Diluted_EPS,0.107,0.089,-0.423,1.004,2.351,1.808,0.162
Goodwill_Intangibles,0.0,0.1,,,,,
LT_Debt,803.0,600.0,605.2,477.2,302.6,0.0,0.0
Net_Income,8.9,4.1,-15.2,31.4,73.5,56.5,39.9
Revenue,462.3,405.9,378.3,318.4,265.9,207.3,166.8
Shares_Diluted,246.329,45.753,35.9375,31.25,31.25,31.25,247.0737
Total_Assets,1773.7,1460.0,1434.8,921.0,647.6,,
Total_Liabilities,1566.3,1316.8,1325.9,642.7,362.9,,
