AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,2.2,,,,,0.1,0.0
Cash_from_Operations,-69.8,-54.8,-48.7,-28.4,-25.3,-17.9,-0.8
Diluted_EPS,-1.689,-1.505,-1.718,-1.525,-1.474,-1.059,-0.253
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,4.3,7.3,7.5,5.6,7.3,0.0,0.5
Net_Income,-89.6,-63.1,-60.4,-35.4,-27.6,-22.6,-3.7
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,53.077,41.946,35.191,23.237,18.701,21.3706,14.5082
Total_Assets,647.2,242.0,182.4,95.9,69.8,87.3,1.4
Total_Liabilities,36.3,23.2,21.4,16.0,12.9,5.2,4.8
