AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,42.4,19.0,22.1,18.6,15.1,11.2,5.0,9.4,12.1,24.0
Cash_from_Operations,506.5,694.7,582.3,403.0,320.1,390.7,334.4,310.8,348.3,307.7
Diluted_EPS,5.726,5.605,5.684,4.523,4.609,3.917,3.939,4.092,4.316,3.655
Goodwill_Intangibles,3283.0,3293.3,3304.9,3310.1,1933.7,1939.7,1946.6,1918.2,1933.1,1755.6
LT_Debt,0.0,0.0,0.0,125.8,0.0,0.0,0.0,0.0,167.5,124.2
Net_Income,524.5,519.3,528.9,332.6,321.8,272.2,274.5,286.6,297.4,221.4
Revenue,1094.8,1046.9,1143.9,832.9,727.2,677.4,675.8,669.7,714.8,539.3
Shares_Diluted,91.604,92.657,93.058,73.524,69.821,69.484,69.68,70.049,68.911,60.578
Total_Assets,37689.8,37834.0,34059.3,32185.7,22693.4,22587.3,22331.1,22037.2,21507.7,18642.0
Total_Liabilities,30990.5,31406.7,27928.6,26214.9,18640.6,18763.1,18688.8,18574.3,18262.9,15855.2
