AAII_YR_DATA,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015
Capital_Expenditures,0.1,0.2,0.1,0.0,0.0,0.0
Cash_from_Operations,-1.2,1.2,1.9,0.6,0.0,0.0
Diluted_EPS,-0.057,-0.027,-0.028,-0.015,-0.032,0.001
Goodwill_Intangibles,0.0,0.5,0.5,0.9,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-1.5,-0.7,-0.7,-0.4,0.0,0.0
Revenue,10.2,10.0,13.4,5.3,0.0,0.0
Shares_Diluted,25.346,25.346,25.346,25.0,0.3035,0.15
Total_Assets,8.4,4.0,7.5,8.5,0.0,0.0
Total_Liabilities,11.5,5.7,8.6,8.8,0.0,0.0
