AAII_YR_DATA,04/30/2021,04/30/2020,04/30/2019,04/30/2018,04/30/2017
Capital_Expenditures,3.9,5.1,3.4,3.0,0.8
Cash_from_Operations,22.5,-30.6,-23.9,-20.8,-16.1
Diluted_EPS,-1.484,-2.122,-1.864,-0.759,-0.748
Goodwill_Intangibles,235.1,248.3,26.6,27.5,14.8
LT_Debt,0.0,0.0,0.0,0.1,0.0
Net_Income,-129.4,-167.2,-102.3,-52.7,-52.0
Revenue,608.5,427.6,271.7,159.9,88.2
Shares_Diluted,87.2071,78.7997,54.8934,69.4927,69.4927
Total_Assets,973.2,803.9,485.7,183.0,144.3
Total_Liabilities,522.3,390.3,222.7,135.6,72.0
