AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,108.4,116.5,198.0,294.3,189.5,,
Cash_from_Operations,370.8,116.7,292.9,429.8,291.7,559.2,583.6
Diluted_EPS,-1.05,-1.369,-0.514,-2.364,-0.301,-0.174,0.615
Goodwill_Intangibles,4173.3,4407.4,4563.2,4405.6,,,
LT_Debt,3718.9,4109.6,4019.1,4221.9,0.0,0.0,0.0
Net_Income,-218.3,-245.8,-102.3,-470.6,-59.9,-34.7,122.4
Revenue,3009.5,2707.1,2438.1,2452.8,2144.7,2077.6,2001.3
Shares_Diluted,208.0,179.6,199.0574,199.0574,199.0574,199.0574,199.0574
Total_Assets,6328.7,6377.8,6272.4,6111.4,6551.3,5517.2,2014.2
Total_Liabilities,5001.3,4994.1,5373.6,5203.6,5178.3,4396.4,1046.1
