AAII_YR_DATA,01/01/2022,01/02/2021,12/31/2020,12/31/2019,12/28/2019,12/29/2018,12/30/2017,12/31/2016,01/02/2016,01/03/2015
Capital_Expenditures,10.6,18.2,18.2,22.7,22.7,21.0,25.6,27.6,23.6,21.2
Cash_from_Operations,283.9,242.0,242.0,777.8,777.8,-96.3,168.6,324.0,297.9,387.1
Diluted_EPS,3.307,1.174,1.1740000000000002,1.689,1.689,4.622,2.041,5.535,6.62,5.817
Goodwill_Intangibles,312.6,301.9,301.9,264.9,264.9,279.6,290.7,,,
LT_Debt,791.3,888.0,888.0,913.3,913.3,0.0,0.0,0.0,0.0,0.0
Net_Income,195.4,67.9,67.9,96.7,96.7,263.1,116.2,315.0,,
Revenue,2475.9,2097.8,2097.8,2548.8,2548.8,2764.0,2830.1,2926.5,3008.8,3011.5
Shares_Diluted,59.086,57.858,57.858,57.209,57.209,56.9211,56.9211,56.9211,56.9211,56.9211
Total_Assets,1533.0,1545.8,1545.8,1517.2,1517.2,2458.5,2126.4,2158.3,2083.8,2101.3
Total_Liabilities,1384.9,1461.2,1461.2,1447.9,1447.9,735.0,768.5,,,
