AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
Capital_Expenditures,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.5,6.3
Cash_from_Operations,-2.9,-2.7,-4.0,-12.6,-16.9,-22.1,-28.1,-20.3,-17.7
Diluted_EPS,0.0,-0.003,-0.692,-3.155,-417.728,,,,
Goodwill_Intangibles,0.4,0.8,0.9,1.5,1.6,1.6,1.3,1.8,0.5
LT_Debt,13.2,0.0,5.0,5.1,5.3,5.4,6.9,6.1,6.4
Net_Income,1.6,-4.9,-16.0,-18.6,-38.9,-45.8,-51.4,-36.1,-28.8
Revenue,,0.6,0.9,0.6,1.7,6.5,5.3,1.3,1.2
Shares_Diluted,18409.05,1537.644,23.1576,5.8834,0.093,0.0027,,,
Total_Assets,7.4,5.6,6.3,7.8,11.6,18.8,55.9,28.5,43.5
Total_Liabilities,27.6,30.7,28.9,20.2,24.9,16.2,48.3,13.1,9.3
