AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,60.8,47.6,33.3,30.5,30.7,34.7,30.8
Cash_from_Operations,308.9,247.2,257.3,253.4,188.6,253.0,259.9
Diluted_EPS,4.009,3.828,2.519,1.511,1.124,2.488,2.505
Goodwill_Intangibles,1103.0,1011.1,1040.4,959.8,1022.5,920.4,1173.9
LT_Debt,837.8,876.4,906.5,1006.8,1037.1,1082.1,1175.3
Net_Income,252.0,238.3,157.8,98.8,77.7,174.6,174.5
Revenue,2204.3,2023.5,1679.4,1444.5,1317.3,1460.9,1485.8
Shares_Diluted,62.8654,62.2332,62.6429,65.3828,69.2003,70.171,69.6675
Total_Assets,2665.7,2426.3,2026.0,1861.7,1778.6,1882.5,1798.2
Total_Liabilities,1633.3,1665.8,1471.9,1460.6,1312.8,1392.7,1481.1
