AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,2.3,3.3,0.8,184.3,241.0,240.1,233.7,466.3
Cash_from_Operations,44.7,49.7,77.5,75.9,86.7,149.6,133.1,78.8
Diluted_EPS,-0.008,-0.299,-0.103,0.095,0.8,1.761,1.581,0.89
Goodwill_Intangibles,0.3,,,,,,,0.0
LT_Debt,720.3,744.7,767.1,780.2,640.7,561.1,484.5,514.7
Net_Income,-0.4,-16.7,-5.7,5.3,44.6,98.1,87.7,41.0
Revenue,332.5,301.4,310.0,298.6,294.1,315.2,304.9,238.3
Shares_Diluted,55.8854,55.7927,55.629,55.8815,55.7945,55.7061,55.4835,46.0314
Total_Assets,1839.4,1874.3,1832.8,1853.9,1724.8,1560.5,1370.5,1325.2
Total_Liabilities,898.9,934.5,877.6,890.7,768.4,650.4,564.7,604.6
