AAII_YR_DATA,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013
Capital_Expenditures,0.0,0.0,0.0,0.0,0.3,2.9,0.2,0.0
Cash_from_Operations,-1.7,-1.2,-6.1,-8.5,-7.6,-5.4,-2.1,0.0
Diluted_EPS,0.004,0.019,-0.638,-1.028,-0.852,-0.309,-0.242,-0.002
Goodwill_Intangibles,0.0,0.0,0.0,0.0,3.3,6.6,0.0,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,0.1,0.3,-8.6,-13.7,-13.8,-6.2,-4.8,0.0
Revenue,0.9,0.4,0.3,0.1,0.0,0.1,0.1,0.0
Shares_Diluted,16.1915,16.1915,13.4714,13.3154,16.2042,19.9996,19.83,19.83
Total_Assets,2.3,2.5,0.3,1.4,5.9,13.1,2.9,0.0
Total_Liabilities,1.9,2.4,10.7,4.3,5.9,7.6,7.4,0.0
