AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,1.7,1.2,0.4,0.3,1.9,
Cash_from_Operations,18.2,30.6,-2.1,10.6,8.9,
Diluted_EPS,1.028,0.889,0.584,0.462,0.365,0.295
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,16.4,13.8,8.9,7.0,5.6,4.5
Revenue,58.8,50.1,40.3,31.7,25.2,18.3
Shares_Diluted,15.9353,15.5511,15.1905,15.1905,15.1905,15.1905
Total_Assets,1179.5,1044.2,901.0,761.3,617.3,528.2
Total_Liabilities,1038.9,914.4,809.5,680.0,544.9,
