AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.8,1.3,0.8,0.4,0.4,1.0,0.2
Cash_from_Operations,-20.7,-18.1,-14.5,-10.7,-7.4,-4.6,-2.0
Diluted_EPS,-1.018,-0.981,-1.442,-1.573,-1.357,-2.158,-1.449
Goodwill_Intangibles,2.4,2.2,2.2,2.0,0.8,0.5,0.4
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-29.9,-24.8,-21.7,-15.2,-9.7,-9.7,-9.4
Revenue,0.7,0.5,0.7,0.3,0.0,0.0,0.0
Shares_Diluted,29.4098,25.2904,15.0154,9.6911,7.1606,4.5102,6.4877
Total_Assets,18.1,26.2,23.8,13.2,7.6,15.5,4.9
Total_Liabilities,8.4,3.3,3.1,3.1,1.1,0.8,16.3
