AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
Capital_Expenditures,0.1,0.2,0.1,,0.1,0.1,0.0,0.1,0.0
Cash_from_Operations,4.2,2.5,1.8,-0.1,2.3,1.2,-4.2,1.7,-2.4
Diluted_EPS,0.206,0.064,0.286,-33.06,-397.896,-305.037,-469.61,505.36800000000005,
Goodwill_Intangibles,12.8,9.4,10.1,5.3,5.3,11.0,12.3,14.6,7.8
LT_Debt,1.4,0.4,1.5,0.4,0.0,1.6,2.0,2.9,1.0
Net_Income,2.9,0.9,4.0,-0.8,-7.8,-4.8,-5.7,2.1,-6.5
Revenue,63.4,43.9,35.2,50.6,60.7,71.5,58.4,1.7,2.2
Shares_Diluted,13.8817,13.8817,13.8817,0.012,0.0249,0.0247,0.0196,0.0158,0.012
Total_Assets,39.4,31.7,27.1,15.6,14.6,30.3,31.3,35.8,30.2
Total_Liabilities,27.5,22.8,19.4,13.8,19.1,31.2,32.2,34.9,27.7
