AAII_YR_DATA,01/28/2023,01/29/2022,01/30/2021,02/01/2020,02/02/2019,02/03/2018,01/28/2017,01/30/2016,01/31/2015,02/01/2014
Capital_Expenditures,1253.8,1022.8,898.8,1036.7,817.1,632.2,565.6,480.5,325.6,330.9
Cash_from_Operations,1614.8,1431.5,2716.3,1869.8,1766.0,1510.2,1673.3,802.5,942.8,794.1
Diluted_EPS,7.208,5.799,5.655,3.47,-6.687,7.212,3.785,1.264,2.895,2.7230000000000003
Goodwill_Intangibles,5083.1,5084.4,5084.4,5083.3,5396.6,8505.3,8597.2,8127.5,166.1,171.8
LT_Debt,3421.6,3417.0,3226.2,3522.2,4265.3,4762.1,6169.7,7387.7,682.7,757.0
Net_Income,1615.4,1327.9,1341.9,827.0,-1590.8,1714.3,896.2,282.4,599.2,596.7
Revenue,28331.7,26321.2,25509.3,23610.8,22823.3,22245.5,20719.2,15498.4,8602.2,7840.3
Shares_Diluted,224.1,229.0,237.3,238.3,237.9,237.7,236.8,223.5,207.0,219.1
Total_Assets,23022.1,21721.8,20696.0,19574.6,13501.2,16332.8,15701.6,15901.2,3492.7,2771.9
Total_Liabilities,14270.6,14003.3,13410.7,13319.8,7858.3,9150.5,10312.1,11494.3,1707.7,1601.2
