AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,11/30/2017,11/30/2016,11/30/2015
Capital_Expenditures,39.9,21.3,18.6,16.9,4.3,,,
Cash_from_Operations,-72.0,2.8,111.1,38.9,-5.3,-0.5,-0.8,0.0
Diluted_EPS,4.813,3.952,0.85,-0.148,-0.778,-0.405,-0.205,-0.011
Goodwill_Intangibles,165.1,168.1,117.9,107.8,107.0,,,
LT_Debt,10.1,13.7,8.4,15.6,19.0,0.0,0.0,0.0
Net_Income,61.6,77.2,8.3,-1.4,-7.5,-0.7,-0.4,-0.1
Revenue,1327.0,1235.0,817.1,644.9,608.2,,,
Shares_Diluted,12.7978,19.54,9.8098,9.7819,9.6683,1.7836,1.7533,5.31
Total_Assets,830.7,698.1,444.0,406.6,402.1,29.5,41.0,0.5
Total_Liabilities,538.7,437.0,303.5,270.3,270.7,1.1,0.0,0.5
