AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,3.5,3.8,1.6,2.2,1.6,1.7,0.7
Cash_from_Operations,-140.5,-75.5,170.4,-2.0,-27.4,31.8,-8.0
Diluted_EPS,-2.255,-2.031,-1.16,-1.626,-4.896,-0.999,-0.541
Goodwill_Intangibles,2.3,2.4,2.6,2.7,2.7,2.7,2.7
LT_Debt,0.0,0.0,0.0,0.0,0.0,1.6,2.9
Net_Income,-102.2,-84.6,-43.1,-58.9,-42.1,-34.9,-18.9
Revenue,57.5,59.5,71.6,15.0,7.7,5.1,0.9
Shares_Diluted,45.3359,41.6644,37.1668,36.2347,8.5952,34.9248,34.9248
Total_Assets,341.3,457.1,397.6,199.1,197.2,73.1,14.2
Total_Liabilities,290.2,326.2,327.7,120.6,71.1,74.9,13.7
