AAII_YR_DATA,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013
Capital_Expenditures,862.6,815.5,978.1,1369.1,999.9,778.6,796.7,585.5,534.2,440.4
Cash_from_Operations,2020.4,2279.9,2070.7,2310.2,1931.2,1463.8,1688.4,1203.6,1151.8,1032.5
Diluted_EPS,3.612,3.133,-2.666,3.33,7.336,2.769,-1.56,2.926,3.285,4.973
Goodwill_Intangibles,8815.8,9278.0,9629.4,11345.1,8699.6,8857.6,7377.4,7442.0,2617.5,2561.5
LT_Debt,7575.0,8025.3,9207.7,9502.3,5674.5,5946.1,5496.3,5558.2,2852.1,2841.9
Net_Income,944.5,838.1,-691.0,862.8,1905.9,708.1,-396.3,507.0,479.6,727.1
Revenue,21256.5,18746.1,17578.8,18289.0,16285.1,14859.7,14171.8,11124.8,9895.1,9545.4
Shares_Diluted,261.5,267.5,259.2,259.1,259.8,255.7,254.0,173.3,146.0,146.0
Total_Assets,28405.5,29254.3,28779.7,30156.7,25360.5,25089.0,23038.2,25372.4,11039.7,10733.4
Total_Liabilities,17003.5,17584.0,18149.1,18486.8,13891.1,14746.5,13309.4,13720.6,6732.9,6421.1
