AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
Capital_Expenditures,75.1,113.4,180.8,211.0,283.1,235.9,240.2,324.7,288.5,254.7
Cash_from_Operations,25.3,185.9,219.0,162.2,602.0,705.9,849.1,642.6,788.9,628.4
Diluted_EPS,-3.288,-3.096,-10.868,1.228,1.1,1.997,2.812,3.201,4.063,2.708
Goodwill_Intangibles,249.0,349.3,508.4,466.5,564.7,532.2,111.6,113.0,114.1,
LT_Debt,1174.0,1710.0,1651.7,1661.6,1591.6,1517.9,986.6,991.7,496.6,520.2
Net_Income,-464.5,-435.0,-1532.7,160.6,153.7,281.4,412.5,510.9,667.7,456.3
Revenue,12434.9,14157.9,17317.3,18851.0,14806.5,19036.5,18114.0,21531.6,27351.6,27577.1
Shares_Diluted,141.275,140.511,140.061,141.272,139.761,140.912,146.722,159.616,164.354,168.491
Total_Assets,7089.0,7309.8,7966.7,8882.6,9327.7,9216.4,7625.4,8194.4,8323.9,8276.0
Total_Liabilities,5696.0,6279.6,6478.9,6048.4,5985.4,6091.2,4628.1,5083.6,4566.9,4934.7
