AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,330.0,180.0,202.0,180.0,179.0,170.0,179.0
Cash_from_Operations,2474.0,1613.0,1038.0,961.0,1014.0,1022.0,866.0
Diluted_EPS,0.884,0.534,5.886,4.539,3.971,3.561,3.051
Goodwill_Intangibles,44289.0,43978.0,7342.0,5649.0,5651.0,5674.0,5682.0
LT_Debt,13096.0,14506.0,4400.0,4468.0,2875.0,2580.0,2508.0
Net_Income,1254.0,586.0,1076.0,847.0,764.0,703.0,624.0
Revenue,11120.0,7442.0,6690.0,6440.0,6282.0,6121.0,5997.0
Shares_Diluted,1419.1,1097.6,182.8,186.6,192.4,197.4,204.5
Total_Assets,49518.0,48918.0,10022.0,9791.0,8869.0,8265.0,8201.0
Total_Liabilities,26261.0,26385.0,7571.0,7657.0,6686.0,5971.0,5924.0
