AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,1276.0,1572.0,1391.0,1348.0,1685.0,1366.0,1198.0
Cash_from_Operations,3610.0,3226.0,1757.0,2478.0,2580.0,3077.0,3028.0
Diluted_EPS,3.072,4.858,5.133,2.175,2.23,1.29,3.113
Goodwill_Intangibles,3347.0,3374.0,3411.0,3364.0,3335.0,3773.0,3987.0
LT_Debt,9597.0,10015.0,10846.0,11075.0,8844.0,8631.0,8827.0
Net_Income,1225.0,2012.0,2144.0,904.0,938.0,555.0,1395.0
Revenue,22376.0,23306.0,21743.0,19495.0,20675.0,23617.0,23483.0
Shares_Diluted,398.8,414.2,417.7,415.6,420.6,432.0,448.1
Total_Assets,33471.0,33576.0,33903.0,33093.0,30531.0,28684.0,31528.0
Total_Liabilities,25758.0,26214.0,27381.0,28752.0,26647.0,23569.0,23423.0
