AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.0,,,,,,
Cash_from_Operations,-1.5,-0.4,-0.2,0.0,-0.8,-1.6,-1.0
Diluted_EPS,-0.005,-0.003,-0.002,-0.002,-0.013,-0.119,-0.125
Goodwill_Intangibles,,,,,,0.6,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-3.3,-1.8,-1.1,-1.0,-2.7,-12.1,-9.3
Revenue,,0.0,0.0,0.0,0.6,0.4,0.0
Shares_Diluted,615.3391,566.13,530.8066,530.8066,208.4383,101.7555,74.4842
Total_Assets,0.5,0.0,0.1,0.0,0.1,0.3,2.1
Total_Liabilities,6.7,4.3,3.1,1.9,1.1,1.2,0.9
