AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,5.0,1.0,1.3,1.7,0.6,0.4
Cash_from_Operations,413.2,535.3,243.3,-21.2,-8.5,-11.5
Diluted_EPS,0.094,0.111,-0.056,-0.325,-0.056,-0.081
Goodwill_Intangibles,11.4,10.5,10.5,1.0,0.2,
LT_Debt,148.8,0.0,0.0,0.0,0.0,0.0
Net_Income,14.7,16.1,-6.6,-43.2,-7.5,-10.8
Revenue,264.5,138.5,58.7,33.6,16.9,5.5
Shares_Diluted,155.7145,144.1488,116.7856,133.0332,133.0332,133.0332
Total_Assets,3321.4,2192.3,809.1,115.2,36.0,
Total_Liabilities,2874.8,1956.6,597.1,139.6,50.8,
