AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,04/30/2018,04/30/2017,04/30/2016,04/30/2015
Capital_Expenditures,309.4,199.0,179.4,12.5,527.0,85.5,281.9,263.6
Cash_from_Operations,84.0,61.2,69.6,40.0,55.2,79.1,72.3,114.2
Diluted_EPS,-0.468,-0.142,6.003,-0.749,8.715,2.924,5.486,1.047
Goodwill_Intangibles,8.2,2.1,2.3,2.0,3.0,2.4,3.5,3.1
LT_Debt,856.0,719.2,648.8,645.7,703.4,664.8,829.9,657.5
Net_Income,-6.5,-1.8,71.8,-8.9,104.6,31.4,60.5,12.6
Revenue,201.7,178.0,185.8,121.9,169.7,160.1,145.5,179.3
Shares_Diluted,13.803,12.564,13.182,11.937,11.9977,12.1169,12.3094,13.4598
Total_Assets,1940.1,1464.2,1392.4,1336.0,1426.7,1474.5,1755.0,1997.8
Total_Liabilities,1142.7,829.4,756.8,767.2,821.0,920.8,1136.3,1345.7
