AAII_YR_DATA,10/31/2021,10/31/2020,10/31/2019,10/31/2018,10/31/2017,10/31/2016,10/31/2015
Capital_Expenditures,0.0,0.2,0.2,1.0,2.2,0.2,
Cash_from_Operations,-108.3,139.6,19.8,-14.9,77.9,-46.5,-57.4
Diluted_EPS,0.956,0.816,0.852,0.751,0.828,0.316,0.423
Goodwill_Intangibles,9.4,,,,,,
LT_Debt,211.1,112.8,135.2,139.3,131.8,140.2,118.5
Net_Income,20.8,17.2,18.0,15.9,17.3,6.3,8.2
Revenue,89.5,86.1,88.3,80.9,71.8,69.7,64.5
Shares_Diluted,21.7529,21.1236,21.1236,21.1236,20.864,19.861,19.437
Total_Assets,2415.1,1943.9,1785.4,1809.1,1725.0,1704.4,1625.8
Total_Liabilities,2083.0,1688.6,1545.2,1585.6,1516.5,1518.5,1451.2
