AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,,0.0,0.0,0.0,0.0,0.0,0.1
Cash_from_Operations,-2.1,-3.1,-0.7,-1.3,-2.1,-1.8,-3.8
Diluted_EPS,-1.727,-6.768,-14.828,-23.674,-28.0,-8.678,-2.814
Goodwill_Intangibles,2.4,5.1,5.3,6.2,9.8,11.0,12.8
LT_Debt,0.0,0.0,1.0,0.1,2.7,2.8,0.3
Net_Income,-6.5,-13.8,-7.4,-5.6,-6.3,-1.9,-0.6
Revenue,0.2,0.8,0.7,0.0,1.5,5.1,9.1
Shares_Diluted,3.768,2.0343,0.5014,0.2361,0.2266,0.2199,0.2111
Total_Assets,4.8,10.9,8.8,10.4,13.9,24.4,22.6
Total_Liabilities,3.9,4.0,1.6,6.5,5.8,7.6,6.5
