AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,4.5,7.2,4.4,1.8,3.0,8.5,6.8,2.4
Cash_from_Operations,2.6,3.1,3.1,1.2,2.6,1.9,0.1,1.3
Diluted_EPS,0.004,-0.117,-0.3,-0.081,-0.018,-0.187,-0.284,0.11
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,22.5,22.1,10.9,11.6,11.7,8.2,4.1,0.4
Net_Income,0.0,-0.5,-1.1,-0.3,-0.1,-0.7,-1.1,0.4
Revenue,58.7,68.4,62.2,55.8,61.4,53.1,51.5,59.5
Shares_Diluted,3.878,3.875,3.814,3.803,3.803,3.803,3.803,4.09
Total_Assets,78.0,79.2,64.8,65.4,67.9,62.3,57.8,55.6
Total_Liabilities,40.9,42.1,27.3,26.9,29.2,23.5,18.4,15.2
