AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,7.2,24.2,75.9,21.7,11.2,26.0
Cash_from_Operations,25.5,51.9,27.6,-17.3,-5.2,-5.2
Diluted_EPS,-1.207,0.208,-0.392,-0.784,-0.355,-0.475
Goodwill_Intangibles,8.5,9.3,10.0,19.8,10.8,0.0
LT_Debt,15.8,30.2,51.3,7.3,10.1,8.5
Net_Income,-10.3,1.8,-3.3,-6.6,-5.0,-6.7
Revenue,187.8,336.9,303.1,154.0,52.8,21.2
Shares_Diluted,8.5329,8.634,8.4256,8.4132,14.1,14.1
Total_Assets,240.6,293.5,302.5,259.7,135.7,54.0
Total_Liabilities,138.7,180.3,200.6,156.0,23.1,13.7
