AAII_YR_DATA,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014
Capital_Expenditures,3.8,7.4,5.0,9.8,12.2,14.0,6.5,6.5,7.9
Cash_from_Operations,98.5,85.6,50.5,74.0,110.2,40.8,82.8,82.8,104.1
Diluted_EPS,0.024,0.142,0.114,0.379,0.038,0.294,0.092,0.449,0.261
Goodwill_Intangibles,335.5,345.4,362.0,309.2,319.3,268.7,293.8,141.7,145.0
LT_Debt,0.0,0.0,129.0,11.0,37.0,15.0,105.0,0.0,0.0
Net_Income,1.6,9.5,7.5,24.5,2.4,18.2,5.7,27.3,15.7
Revenue,596.4,556.8,540.2,529.2,531.0,509.6,492.5,490.2,444.7
Shares_Diluted,67.788,66.885,65.612,64.6,63.44,62.01,61.233,60.849,60.13399999999999
Total_Assets,627.7,644.5,720.1,532.9,515.8,473.2,530.8,460.5,445.1
Total_Liabilities,204.6,212.8,319.6,156.9,192.3,168.2,261.4,177.0,150.0
