AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,4.6,30.0,342.7,84.0,0.0,
Cash_from_Operations,209.7,164.3,76.3,0.7,0.0,0.0
Diluted_EPS,-1.861,0.178,-49.336,-0.253,-2.984,-0.001
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,657.0,624.0,396.0,0.0,0.0,0.0
Net_Income,-13.9,2.8,-369.7,-4.4,-18.6,0.0
Revenue,160.6,148.4,135.8,76.8,15.1,0.0
Shares_Diluted,7.492,32.492,7.4929,17.3125,6.2259,4.375
Total_Assets,1724.7,1799.6,1500.9,1857.3,379.7,0.0
Total_Liabilities,2301.9,2046.1,1853.9,2071.0,14.5,0.0
